id,masterCategory,gender,baseColour
5253,Accessories,Unisex,Grey
20431,Accessories,Women,Brown
14604,Accessories,Men,Green
4381,Apparel,Men,Blue
46623,Accessories,Unisex,Black
19927,Footwear,Men,Grey
7504,Apparel,Women,Pink
22366,Apparel,Men,White
3998,Footwear,Men,Black
51694,Accessories,Unisex,Brown
16153,Footwear,Men,Black
17081,Accessories,Women,Blue
50746,Footwear,Men,Black
34203,Apparel,Men,Charcoal
55234,Personal Care,Women,Skin
13421,Apparel,Men,Black
27614,Apparel,Men,Beige
22154,Footwear,Men,Black
16361,Apparel,Men,Maroon
46411,Apparel,Men,Black
7736,Accessories,Men,Red
34031,Apparel,Boys,Blue
50574,Apparel,Men,Charcoal
22968,Accessories,Unisex,Black
3396,Accessories,Women,Blue
31543,Apparel,Men,Navy Blue
55006,Personal Care,Women,Copper
19329,Footwear,Men,Brown
13613,Apparel,Men,Red
27426,Apparel,Women,Grey Melange
2244,Apparel,Women,Black
43163,Accessories,Men,White
33214,Apparel,Women,Black
10096,Footwear,Women,Blue
11144,Apparel,Men,Black
25371,Apparel,Men,Maroon
20603,Accessories,Women,Black
58719,Apparel,Women,Off White
11978,Footwear,Men,Navy Blue
36766,Accessories,Men,Black
45294,Accessories,Women,Black
52223,Accessories,Women,White
34455,Footwear,Women,Black
6280,Apparel,Men,Pink
46075,Accessories,Men,Black
35587,Footwear,Men,Brown
7352,Apparel,Men,Purple
27042,Accessories,Women,Black
2620,Apparel,Men,Blue
43507,Apparel,Men,Maroon
28836,Apparel,Women,Multi
31127,Apparel,Girls,Black
26190,Personal Care,Men,Blue
55462,Personal Care,Women,Purple
11520,Apparel,Women,Black
25715,Accessories,Unisex,Blue
41250,Accessories,Men,Brown
40382,Apparel,Women,Pink
38298,Accessories,Men,Brown
57335,Apparel,Women,White
52647,Accessories,Women,Black
20267,Footwear,Women,Black
14052,Apparel,Men,White
53795,Apparel,Men,Black
44722,Footwear,Women,Orange
5405,Footwear,Men,White
39178,Apparel,Women,Blue
32590,Apparel,Women,Brown
11712,Apparel,Men,Blue
25527,Apparel,Women,Green
57107,Apparel,Women,Olive
20869,Footwear,Men,Brown
33442,Accessories,Women,Teal
58973,Personal Care,Women,Pink
52475,Apparel,Women,White
39944,Footwear,Men,Grey
21187,Footwear,Men,Yellow
36130,Footwear,Men,Grey
44510,Footwear,Unisex,Black
20055,Accessories,Women,Grey
50322,Apparel,Women,Black
28238,Personal Care,Men,Black
13879,Apparel,Men,Red
47395,Accessories,Women,Green
46247,Apparel,Women,Pink
7160,Apparel,Women,Purple
22702,Footwear,Women,Beige
8914,Footwear,Men,White
16537,Accessories,Men,Blue
43735,Accessories,Women,Gold
13045,Footwear,Women,Maroon
27270,Apparel,Women,Maroon
12197,Apparel,Men,Orange
55650,Footwear,Women,Multi
31315,Apparel,Women,Brown
6274,Apparel,Women,Green
47153,Apparel,Girls,Pink
17623,Apparel,Men,Grey
48927,Accessories,Women,Silver
51036,Apparel,Women,Lime Green
26958,Apparel,Women,Teal
46081,Footwear,Men,Navy Blue
35573,Footwear,Men,Blue
13283,Apparel,Men,Blue
54544,Footwear,Men,Black
30001,Accessories,Women,White
29910,Accessories,Men,Black
3706,Apparel,Men,Grey
26164,Apparel,Men,Grey
55496,Personal Care,Women,Pink
56213,Accessories,Women,Gold
15948,Accessories,Men,Burgundy
40376,Apparel,Women,Yellow
24633,Footwear,Women,Pink
10406,Apparel,Women,Grey
4523,Footwear,Men,Blue
45604,Footwear,Men,Brown
15174,Apparel,Men,Yellow
21341,Accessories,Men,Steel
53761,Apparel,Men,Green
37224,Apparel,Women,Purple
32564,Apparel,Women,Orange
56021,Personal Care,Women,Mauve
24401,Apparel,Women,Brown
10634,Footwear,Men,Black
40144,Apparel,Girls,Pink
58987,Personal Care,Women,Lavender
59069,Apparel,Women,White
15346,Apparel,Men,Black
52481,Apparel,Women,Pink
21173,Apparel,Women,Grey
4711,Accessories,Unisex,Black
40978,Apparel,Boys,Red
14294,Apparel,Men,Black
17411,Footwear,Men,White
9832,Apparel,Women,Orange
23624,Apparel,Girls,White
6046,Apparel,Men,Green
34693,Apparel,Girls,Pink
47361,Accessories,Women,Black
7194,Apparel,Women,White
51204,Apparel,Women,Peach
30233,Footwear,Men,White
48329,Accessories,Women,Purple
18459,Personal Care,Men,White
27284,Apparel,Women,Brown
12163,Apparel,Women,Purple
42613,Accessories,Women,Gold
3534,Apparel,Women,Black
24065,Apparel,Men,Green
10250,Accessories,Women,Brown
57597,Personal Care,Women,Pink
40520,Accessories,Men,Cream
1607,Apparel,Men,Blue
11382,Apparel,Women,Grey
44180,Personal Care,Women,White
37472,Accessories,Men,Grey
53137,Footwear,Women,Brown
15722,Footwear,Men,Grey
4375,Apparel,Men,Navy Blue
35325,Accessories,Women,Silver
22392,Apparel,Women,White
51660,Accessories,Men,Black
17075,Accessories,Women,Navy Blue
23240,Apparel,Women,Blue
6422,Footwear,Unisex,Black
18801,Accessories,Men,Brown
26732,Personal Care,Women,Purple
12507,Footwear,Men,Black
31785,Apparel,Women,Navy Blue
3150,Footwear,Men,Black
17849,Apparel,Women,Grey
29548,Apparel,Men,Navy Blue
42879,Accessories,Women,Black
16395,Apparel,Men,Black
51452,Apparel,Women,White
6610,Apparel,Men,White
47537,Footwear,Women,Brown
17247,Apparel,Men,Blue
23072,Apparel,Men,Navy Blue
42045,Footwear,Men,Yellow
3362,Apparel,Men,Black
12735,Accessories,Unisex,Black
54120,Footwear,Women,Beige
30465,Apparel,Women,Black
9658,Apparel,Men,Maroon
43197,Accessories,Women,Grey
38608,Apparel,Men,Grey
24257,Footwear,Men,Navy Blue
10062,Apparel,Men,Grey
56677,Accessories,Men,White
25385,Apparel,Men,Navy Blue
32332,Accessories,Men,Steel
5095,Apparel,Men,Blue
37640,Accessories,Women,Red
4147,Footwear,Women,White
36792,Accessories,Men,Black
45260,Accessories,Men,Black
15510,Footwear,Men,Charcoal
21725,Apparel,Men,Navy Blue
34038,Apparel,Boys,Red
43956,Footwear,Women,Purple
28467,Apparel,Women,Rust
16368,Apparel,Men,Charcoal
42884,Accessories,Women,Beige
55833,Personal Care,Women,Skin
46418,Accessories,Men,Olive
48582,Accessories,Men,Steel
30498,Apparel,Women,Brown
8777,Apparel,Men,Blue
19320,Accessories,Unisex,Pink
25378,Apparel,Men,Beige
4986,Apparel,Men,Red
39727,Apparel,Women,Blue
57758,Personal Care,Women,White
5854,Accessories,Women,Pink
11971,Footwear,Men,White
5068,Accessories,Men,Blue
39515,Accessories,Unisex,Brown
45893,Accessories,Men,Black
44941,Footwear,Men,Black
24098,Footwear,Men,Black
4388,Apparel,Men,Green
58522,Accessories,Unisex,Rust
28655,Footwear,Men,White
2843,Apparel,Men,Pink
17088,Accessories,Women,Brown
3991,Apparel,Men,White
29787,Apparel,Men,White
9497,Footwear,Men,Black
13428,Apparel,Men,White
19112,Apparel,Men,Grey
16966,Footwear,Men,Black
49662,Accessories,Women,Black
20860,Accessories,Women,Black
32599,Apparel,Women,Black
39171,Apparel,Women,Pink
36905,Accessories,Men,Black
57932,Apparel,Men,White
58146,Accessories,Unisex,Black
40985,Apparel,Boys,White
41857,Footwear,Men,Olive
59094,Apparel,Women,Black
36139,Footwear,Men,Black
7169,Apparel,Men,Blue
28231,Personal Care,Men,Black
13870,Apparel,Men,Beige
19576,Apparel,Women,White
7955,Apparel,Men,Grey
8121,Accessories,Men,Brown
27279,Apparel,Women,Blue
6887,Apparel,Women,Blue
31912,Accessories,Women,Green
49808,Footwear,Women,Blue
22539,Footwear,Women,Brown
27877,Apparel,Women,Navy Blue
6289,Apparel,Men,Brown
28003,Apparel,Men,White
8313,Accessories,Women,Black
49034,Accessories,Women,Silver
19744,Apparel,Men,Green
26199,Personal Care,Men,Black
47992,Accessories,Women,Black
18696,Apparel,Men,Black
2629,Footwear,Women,Black
14867,Accessories,Men,Black
38291,Accessories,Men,Black
11529,Apparel,Men,Grey
41259,Accessories,Men,Brown
1890,Apparel,Men,Red
15189,Apparel,Men,Green
24408,Footwear,Men,Black
20894,Footwear,Men,Red
21946,Accessories,Women,Black
39185,Apparel,Women,Khaki
56028,Personal Care,Women,Maroon
40971,Footwear,Men,Brown
52488,Apparel,Women,Red
59060,Apparel,Women,Red
4718,Apparel,Girls,Yellow
56814,Apparel,Women,Multi
12956,Footwear,Men,Blue
29317,Accessories,Unisex,Blue
17418,Accessories,Men,Black
47368,Accessories,Women,Brown
13884,Apparel,Men,Black
19582,Apparel,Men,Grey
48320,Accessories,Women,Silver
9007,Accessories,Women,Silver
6873,Apparel,Women,Black
18450,Personal Care,Women,White
29125,Accessories,Women,White
26951,Apparel,Women,Teal
27883,Apparel,Women,Pink
30834,Apparel,Women,Blue
29919,Accessories,Men,Black
42428,Apparel,Women,Brown
12358,Apparel,Men,Cream
48112,Accessories,Women,Brown
9235,Apparel,Men,Blue
14893,Accessories,Women,Blue
15941,Accessories,Men,Black
53768,Apparel,Men,Blue
21348,Accessories,Men,Silver
59252,Accessories,Men,White
6619,Footwear,Men,White
54915,Apparel,Men,Cream
50589,Apparel,Men,Navy Blue
42870,Accessories,Women,Purple
18206,Accessories,Men,Black
54129,Footwear,Women,Beige
23847,Footwear,Men,White
48576,Accessories,Men,Steel
9651,Apparel,Men,Green
8783,Apparel,Men,Red
4972,Apparel,Men,Green
38601,Apparel,Men,Red
45269,Accessories,Men,Black
11985,Footwear,Men,Black
59636,Apparel,Women,Sea Green
15519,Footwear,Men,Brown
10857,Apparel,Men,White
10259,Apparel,Men,Black
53902,Accessories,Women,Brown
38433,Accessories,Women,Green
40529,Accessories,Women,White
59404,Apparel,Women,Blue
25982,Personal Care,Women,White
44189,Footwear,Women,Pink
24850,Accessories,Men,Brown
23249,Footwear,Men,Black
18808,Accessories,Men,Navy Blue
51669,Accessories,Men,Silver
3965,Apparel,Women,White
29773,Apparel,Men,Green
48744,Accessories,Men,Steel
17840,Footwear,Men,Red
9463,Apparel,Men,White
18034,Accessories,Women,Beige
16992,Accessories,Women,Black
3159,Footwear,Men,White
14858,Accessories,Women,Red
33646,Footwear,Men,Black
57303,Footwear,Women,Brown
11516,Footwear,Women,Black
41266,Accessories,Men,Brown
20251,Apparel,Men,Grey
14064,Apparel,Men,Red
44714,Footwear,Men,Maroon
5433,Apparel,Men,Red
52671,Accessories,Men,Navy Blue
59299,Apparel,Men,Blue
49837,Footwear,Women,Blue
16733,Footwear,Men,Black
7364,Footwear,Men,Brown
34463,Accessories,Unisex,Black
47191,Footwear,Men,Black
27848,Apparel,Women,Navy Blue
31111,Apparel,Boys,Black
55454,Personal Care,Women,Burgundy
12393,Accessories,Men,Black
13241,Apparel,Men,White
54586,Apparel,Women,Green
27074,Footwear,Women,Blue
2616,Footwear,Women,Gold
43531,Apparel,Women,Off White
46271,Apparel,Women,Blue
35783,Footwear,Women,Turquoise Blue
7156,Apparel,Men,Black
22734,Footwear,Women,Grey
8922,Accessories,Men,White
16501,Apparel,Men,Brown
50314,Accessories,Men,Brown
34651,Footwear,Women,Black
6084,Apparel,Men,White
19549,Apparel,Men,Grey
49239,Accessories,Men,White
31323,Apparel,Women,White
43703,Accessories,Women,Red
13073,Footwear,Men,White
57131,Apparel,Women,Teal
40186,Apparel,Women,Black
58945,Personal Care,Women,White
33474,Accessories,Women,Blue
59897,Apparel,Women,Yellow
11724,Apparel,Women,Red
5601,Footwear,Men,Brown
20063,Accessories,Women,Black
58179,Accessories,Women,Blue
39972,Footwear,Men,Grey
15384,Footwear,Men,Black
52443,Apparel,Women,Green
41868,Footwear,Men,Turquoise Blue
36106,Accessories,Men,Black
23282,Accessories,Men,Off White
34235,Apparel,Men,Cream
46615,Footwear,Women,Red
19911,Accessories,Unisex,Grey
7532,Apparel,Men,Blue
22350,Apparel,Men,Blue
16165,Footwear,Men,Tan
2040,Apparel,Men,White
30695,Footwear,Women,Bronze
43367,Footwear,Women,Black
13417,Apparel,Men,Blue
27622,Apparel,Men,Grey
55202,Personal Care,Women,Pink
3192,Apparel,Men,Black
16959,Accessories,Women,Brown
11340,Apparel,Men,Blue
25175,Accessories,Women,Red
10292,Footwear,Women,Brown
57555,Personal Care,Women,Pink
52027,Apparel,Unisex,Navy Blue
36562,Apparel,Men,White
25949,Accessories,Women,Brown
44142,Personal Care,Men,Green
5265,Accessories,Unisex,Black
14632,Accessories,Men,Green
11172,Apparel,Men,Red
25347,Apparel,Men,White
39718,Apparel,Women,Beige
41602,Apparel,Men,Navy Blue
33222,Apparel,Women,Brown
24295,Accessories,Men,Black
57767,Personal Care,Women,White
36750,Apparel,Girls,Navy Blue
37682,Accessories,Unisex,Black
34007,Apparel,Girls,Pink
50542,Apparel,Men,Red
17285,Apparel,Men,Black
43969,Personal Care,Women,Black
28458,Apparel,Women,Blue
22162,Footwear,Men,Black
16357,Apparel,Men,Blue
46427,Accessories,Men,Black
7700,Apparel,Women,Pink
27410,Apparel,Women,Multi
2272,Apparel,Men,Blue
43155,Accessories,Women,Black
42087,Footwear,Men,White
8748,Apparel,Men,Orange
55030,Personal Care,Women,Red
17043,Footwear,Men,Black
50784,Footwear,Women,Cream
2888,Footwear,Women,Brown
23276,Accessories,Men,Black
6414,Footwear,Men,Grey
18837,Accessories,Men,Brown
35313,Accessories,Women,Silver
51656,Accessories,Men,Black
16191,Apparel,Men,White
30661,Accessories,Men,Black
43393,Accessories,Men,Brown
26704,Footwear,Men,White
12531,Apparel,Women,Pink
42241,Apparel,Women,Purple
